fabio:ResearchPaper;PresentsStudy;hycl:Statement
https://doi.org/10.1177/1931243114546448;Primary;People who share news in social media tend to perceive themselves as opinion leaders.
https://doi.org/10.1177/1077699013482906;Primary;People who share news in social media tend to have more friends or followers.
http://doi.org/10.1145/2684103.2684171;Primary;People who share news in social media usually have a rich media diet and use multiple sources for information purposes.
http://doi.org/10.1145/2684103.2684171;Primary;People who read news via social media and/or follow news organizations are more likely to have a positive attitude towards engaging in news sharing.
http://doi.org/10.1177/0956797611413294;Primary;Emotional arousal increases the likelihood of sharing news.
https://doi.org/10.1145/2487788.2487807;Primary;People predominantly share like-minded news articles while avoiding the sharing of conflicting ones.
https://doi.org/10.1145/2441776.2441877;Primary;People who often share news seem to actively include news from media organizations with ideologies that differ from their own.
http://doi.org/10.1109/HICSS.2010.412;Primary;People share news to gain reputation, to draw people’s attention, and to attain status among peers or other users.
http://doi.org/10.1109/HICSS.2010.412;Primary;Altruistic motive is one of the main drivers of information sharing.
http://doi.org/10.1016/j.chb.2011.10.002;Primary;People share news to gain reputation, to draw people’s attention, and to attain status among peers or other users.
http://doi.org/10.1016/j.chb.2011.10.002;Primary;News sharing is not perceived to fulfill entertainment needs or to help escaping from daily routines.
http://doi.org/10.1016/j.chb.2011.10.002;Primary;The need to interact with others through sharing news is related to motives like socializing and getting social approval.
http://doi.org/10.1145/1998076.1998103;Primary;People share news to gain reputation, to draw people’s attention, and to attain status among peers or other users.
http://doi.org/10.1080/08824096.2013.843165;Primary;Altruistic motive is one of the main drivers of information sharing.
http://doi.org/10.1080/08824096.2013.843165;Primary;People who share information also seek information which makes the news sharing process at heart a reciprocal one.
http://doi.org/10.1080/1369118X.2011.554572;Primary;Altruistic motive is one of the main drivers of information sharing.
http://doi.org/10.3998/3336451.0011.305;Primary;The need to interact with others through sharing news is related to motives like socializing and getting social approval.
http://doi.org/10.1145/1998076.1998103;Primary;The need to interact with others through sharing news is related to motives like socializing and getting social approval.
http://doi.org/10.1145/1935826.1935845;Primary;Content with a positive valence is shared more often.
No-DOI-1;Primary;Content with a positive valence is shared more often.
No-DOI-1;Primary;More arousing content regardless if positive or negative is shared more often.
http://doi.org/10.1509/jmr.10.0353;Primary;Content with a positive valence is shared more often.
http://doi.org/10.1509/jmr.10.0353;Primary;More arousing content regardless if positive or negative is shared more often.
http://doi.org/10.1509/jmr.10.0353;Primary;The ranking or placing of an article on a given website affects its sharing probability.
http://doi.org/10.1509/jmr.10.0353;Primary;Articles that are placed more prominently on a given website have a higher chance to be shared.
http://doi.org/10.1145/1935826.1935845;Primary;Content that is deemed interesting shares a positive relation with sharing news content.
http://arxiv.org/abs/1202.0332;Primary;Content that originates from a trusted source shares a positive relation with sharing news content.
http://doi.org/10.1016/j.chb.2014.03.006;Primary;Content that contains high informational value news factors like controversy, relevance, or unexpectedness shares a positive relation with sharing news content.
http://doi.org/10.1111/j.1468-2958.2011.01418.x;Primary;During periods of heightened political activity, public affairs content (featuring politics, government, or economics) is shared more often than nonpublic affairs content (featuring entertainment, sports, or crime).
http://doi.org/10.1016/j.chb.2014.08.009;Primary;Exposing people to information about the collective likelihood of sharing positively influences their own sharing intention.
No-DOI-13;Primary;Social media recently are a constitutive part of online news distribution and consumption.
https://doi.org/10.1177%2F2056305115610141;Primary;social media simplify and facilitate news sharing for media organizations.
https://doi.org/10.1177%2F2056305115610141;Primary;Social media simplify and facilitate news sharing for individuals.
https://doi.org/10.1177%2F2056305115610141;Primary;Online news sites increasingly rely on referrals from social media to improve their website traffic, article views.
https://doi.org/10.1177%2F2056305115610141;Primary;Online news sites increasingly rely on referrals from social media to improve  their economic success.
https://doi.org/10.1080/17512786.2013.794022;Primary;All US newspapers with a weekday circulation of more than 100,000 are using social media as an additional means to distribute their content online.
No-DOI-15;Primary;Social media like Facebook and Twitter expose segments of the population to news who would not have gotten it otherwise.
https://doi.org/10.1177%2F2056305115610141;Primary;Social media fundamentally changes  the way we have to conceptualize and measure news use and exposure in an online environment.
https://doi.org/10.1177%2F2056305115578135;Primary;The word "sharing" is not particularly helpful for scientific analyses of social media activities since it means many different things to many different people.
https://doi.org/10.1177%2F2056305115610141;Primary;The term "news sharing, representing the act of distributing a specific kind of content, is more precise than the shorter term "sharing" in the context of communication science research.
https://doi.org/10.1177%2F2056305115610141;Primary;News sharing is the practice of giving a defined set of people access to news content via social media platforms by posting or recommending it.
https://doi.org/10.1177%2F2056305115610141;Primary;Compared to the term "news sharing", the term "social media" is a more diffuse and often used as a generic buzzword.
https://doi.org/10.1177%2F2056305115610141;Primary;In the context of communcation science research, the terms "social networking services" and "social media" are often not clearly distinguished.
http://dx.doi.org/10.4135/9781446270066;Primary;Some communication science researchers use the terms "sharing" and "news sharing" synonymously, while others emphasize that social media are more centered on content and that SNSs are more centered on people and their networked relations.
https://doi.org/10.1177%2F2056305115610141;Primary;News sharing in social media is an activity that is recognized by scholars from a wide variety of disciplines.
https://doi.org/10.1177%2F1461444813520477;Primary;For methodological and theoretical approaches and research questions and sampling strategies it is hard to find categories that fit all articles under investigation due to their diversity.
https://doi.org/10.1177%2F2056305115610141;Primary;Besides its relevance for media organizations, news sharing also alters the way the audience is engaging with news.
https://doi.org/10.1177%2F2056305115610141;Primary;Individuals own news sharing behavior increases their involvement and interest in news topics.
https://doi.org/10.1177%2F2056305115610141;Primary;The observation of other people’s news sharing activities leads to more news exposure and to confrontation with other opinions and ideas.
