Kumpel DOI;fabio:ResearchPaper
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177/1931243114546448
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177/1077699013482906
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1145/2684103.2684171
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1177/0956797611413294
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2487788.2487807
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2441776.2441877
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1016/j.chb.2011.10.002
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1145/1998076.1998103
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1109/HICSS.2010.412
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1080/08824096.2013.843165
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1080/1369118X.2011.554572
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.3998/3336451.0011.305
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1145/1935826.1935845
https://doi.org/10.1177%2F2056305115610141;No-DOI-1
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1509/jmr.10.0353
https://doi.org/10.1177%2F2056305115610141;No-DOI-2
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1016/j.chb.2014.03.006
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1111/j.1468-2958.2011.01418.x
https://doi.org/10.1177%2F2056305115610141;http://doi.org/10.1016/j.chb.2014.08.009
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1089/cyber.2012.0265
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1354856513493699
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1566374.1566421
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2187836.2187907
https://doi.org/10.1177%2F2056305115610141;No-DOI-3
https://doi.org/10.1177%2F2056305115610141;No-DOI-4
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/1461670X.2012.664428
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1814245.1814249
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2542182.2542189
https://doi.org/10.1177%2F2056305115610141;No-DOI-5
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/02560054.2013.767425
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2487788.2488069
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2487575.2487596
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F2056305115610141
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2556288.2557285
https://doi.org/10.1177%2F2056305115610141;No-DOI-6
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1111/j.1083-6101.2012.01574.x
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1016/j.chb.2011.08.017
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2433396.2433402
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1718487.1718518
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2503792.2503797
https://doi.org/10.1177%2F2056305115610141;No-DOI-7
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/17512781003640703
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/1461670X.2012.664430
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1002/meet.14504701277
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F0267323113497435
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/1369118X.2012.706316
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1963192.1963222
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/1369118X.2011.649774
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2207676.2208672
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2063212.2063224
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/08838151.2013.816706
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1109/PASSAT/SocialCom.2011.182
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2501025.2501027
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2501025.2501030
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.3390/e15104215
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2505515.2505583
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1016/j.chb.2013.06.005
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2567948.2579325
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1207/s15506878jobem4903_3
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2396761.2398634
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1772690.1772751
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/1461670X.2011.571825
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2487788.2488068
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1348549.1348555
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1397735.1397738
https://doi.org/10.1177%2F2056305115610141;No-DOI-8
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2337542.2337547
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1461444810372164
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/15228835.2012.744244
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1109/GreenCom-iThings-CPSCom.2013.173
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2467696.2467749
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2484028.2484212
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/1964858.1964869
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1940161212474472
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2339530.2339540
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2187980.2188177
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1080/21670811.2013.872420
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1111/j.1460-2466.2012.01630.x
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1145/2492517.2500250
https://doi.org/10.1177%2F2056305115610141;https://doi.org/10.1177%2F1464884911431533
